identifier,abs.root,abs.strength,abs.action,abs.action.strength,causal.model.type,causal.model.yn,control,dis.root,dis.strength,dis.action,dis.action.strength,disclaimer ,causal.intent,confounds,mediation,design.type
Article 35,enhance,Strong,No,N/A,Flow chart with directed arrows,Yes,Yes,relate,Weak,Yes,Weak,Yes,No,No,Yes,Cross-sectional
Article 36,relate,Weak,No,N/A,Structural equations model,Yes,Yes,relate,None,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 37,affect,Strong,No,N/A,Flow chart with directed arrows,Yes,No,influence,Strong,No,N/A,Yes,No,No,Yes,Cross-sectional
Article 38,affect,Strong,No,N/A,Flow chart with directed arrows,Yes,Yes,correlate,None,Yes,Strong,Yes,No,No,Yes,Cross-sectional
Article 39,effect,Strong,No,N/A,Structural equations model; flow chart with directed arrows,Yes,Yes,effect,Moderate,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 40,predict,None,Yes,Strong,No,No,Yes,predict,None,Yes,Strong,Yes,No,No,Yes,Cross-sectional
Article 41,impact,Strong,No,N/A,Flow chart with directed arrows,Yes,No,effect,Strong,Yes,Strong,No,Yes,No,Yes,Longitudinal
Article 42,relate,None,No,N/A,Structural equations model; flow chart with directed arrows,Yes,No,constitute ,Moderate,Yes,Strong,No,No,No,No,Cross-sectional
Article 43,instrumental,Strong,No,N/A,Structural equations model; flow chart with directed arrows,Yes,Yes,instrumental,Strong,Yes,Strong,No,No,Yes,Yes,Cross-sectional
Article 44,influence,Strong,Yes,Moderate,Structural equations model; flow chart with directed arrows,Yes,No,influence,Strong,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 45,impact,Strong,Yes,Strong,Structural equations model; flow chart with directed arrows,Yes,Yes,predict,Weak,Yes,Moderate,No,Yes,Yes,Yes,Longitudinal
Article 46,predict,None,Yes,Strong,Flow chart with directed arrows,Yes,Yes,predict,None,Yes,Strong,No,No,Yes,No,Cross-sectional
Article 47,influence,Weak,Yes,Strong,Flow chart with directed arrows,Yes,Yes,influence,Weak,Yes,Weak,Yes,No,No,No,Cross-sectional
Article 48,relate,None,No,N/A,Flow chart with directed arrows,Yes,Yes,relate,None,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 49,determinant,Strong,Yes,Strong,No,No,No,relate,None,No,N/A,No,No,No,No,Cross-sectional
Article 5,effect,Strong,Yes,Moderate,Structural equations model; flow chart with directed arrows,Yes,No,effect,Strong,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 50,affect,Strong,Yes,Strong,Structural equations model; flow chart with directed arrows,Yes,No,effect,Strong,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 51,relate,None,Yes,Weak,Structural equations model; flow chart with directed arrows,Yes,No,influence,Strong,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 52,relate,None,No,N/A,Flow chart with directed arrows,Yes,Yes,relate,None,Yes,Moderate,No,Yes,No,Yes,Cross-sectional
Article 53,relate,None,Yes,Strong,Structural equations model; flow chart with directed arrows,Yes,Yes,impact,Strong,Yes,Strong,Yes,No,No,Yes,Cross-sectional
Article 54,relate,Weak,No,N/A,No,No,No,relate,Weak,Yes,Strong,Yes,No,No,Yes,Longitudinal
Article 6,reduce,Strong,No,N/A,Structural equations model,Yes,Yes,alleviate,Strong,Yes,Strong,No,No,No,Yes,Cross-sectional
Article 7,promote,Strong,No,N/A,Flow chart with directed arrows,Yes,Yes,influence,Strong,Yes,Strong,No,Yes,No,Yes,Cross-sectional
Article 9,impact,Strong,Yes,Strong,Flow chart with directed arrows,Yes,Yes,drive,Strong,Yes,Strong,No,No,No,Yes,Cross-sectional
