Timestamp,Article Title,Article Identifier,Independent variable(s) of interest,Outcome variable(s) of interest,Abstract: Primary Linking Sentence(s),Abstract: Primary Linking Word/Phrase,Abstract: Modifying word/phrases,Abstract: How strongly does the language in this sentence imply that the authors identified a causal relationship between the independent variable of interest and the outcome of interest?,Abstract: Action Recommendation(s),Abstract: Action recommendation causal implication,Introduction/methods: Formal causal model,"Introduction/methods: Are there variables controlled, adjusted, matched or stratified on?",Discussion/conclusions: Primary Linking Sentence(s),Discussion/conclusions: Primary Linking Sentence(s),Discussion/conclusions: Primary Linking Word/Phrase,Discussion/conclusions: Modifying Word/Phrase,Discussion/conclusions: How strongly does the language in this sentence imply that the authors identified a causal relationship between the primary independent variable and the primary outcome?,Discussion/conclusions: Action Recommendation(s),Discussion/conclusion: Action recommendation causal implication,Anywhere in text: Causal disclaimer statements,Anywhere in text:  Acknowledgement of intent to draw causal inference,"Anywhere in text: Is ""confounding"", ""confounders"", or ""third variable"" discussed or mentioned in relation to the methods, results, and/or interpretation of this study?",Additional comments
10/8/2025 15:47:16,Does job stress enhance employee creativity? Exploring the role of psychological capital,DOI 10.1108/PR-08-2019-0443,psychological capital; job stress,job satisfaction; creativity; psychological capital," PsyCap was found to influence job satisfaction and creativity, with job satisfaction partially mediating this direct effect.",influence,,Strong: The linking sentence clearly implies that causality had been identified,Practical implications focus manager’s and leader’s attention toward the enhancement of employees’ psychological resources for its stress and creativity related benefits.,Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Other graphical causal model (describe in ""other""), Structural equations model",Yes,"Our findings supported the positive effects of PsyCap on job satisfaction, which confirms meta- analysis (Avery et al., 2011).",First paragraph of the discussion or conclusions section,effects,positive,Strong: The linking sentence clearly implies that causality had been identified,"Finally, policy implications include focusing on promoting employees’ psychological resources (PsyCap) might provide multiple benefits for employees (well-being) and employers (creativity, performance), and thus allow employees to become better social contributors.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/9/2025 12:48:20,How discretionary behaviors promote customer engagement: the role of psychosocial safety climate and psychological capital,doi:10.1017/jmo.2020.29,psychosocial safety climate; psychological capital,customer engagement; adaptive & proactive service behaviours,The results demonstrated that PsyCap and PSC were both positively associated with ASB and PSB at the individual level,associated,positively,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other"")",Yes,"Second, PSC at the branch level was positively associated with ASB and PSB at the individual level.",Third paragraph of the discussion or conclusions section,associated,positively,None: The linking sentence does not imply in any way a causal relationship was identified,"Similarly, service organizations can develop other indicators of a psychologically positive work environment such as PsyCap which is a valuable resource that service organizations can advance among their employees.","Moderate: The action recommendation most likely could be made appropriately had a causal relationship been identified, but it is unclear or possible to come to that recommendation in the absence of any causal inference",The cross-sectional design of the study made causal inferences difficult.,,"Yes, in the discussion limitations section",
10/9/2025 12:57:47,Developing Sustainable Careers during a Pandemic: The Role of Psychological Capital and Career Adaptability,https://doi.org/10.3390/ su14053105,psychological capital,career satisfaction; career engagement; coping with changes in career due to COVID-19; career-related COVID-19 worries,Results from path analyses revealed a positive association between PsyCap and career satisfaction and career coping,association,positive,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other"")",Yes,"In line Hypothesis H1a and H1c, our results revealed a positive relationship between PsyCap and career satisfaction and career coping.",First paragraph of the discussion or conclusions section,relationship,positive,None: The linking sentence does not imply in any way a causal relationship was identified,"Accounting for the role of PsyCap for several important career-related outcomes in our study, organizations should look for ways to support and enhance this resource, for instance, by providing training related to the development of employees’ self-efficacy or resilience. ",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/9/2025 13:09:26,Impact of Psychological Capital on Performance of Public Hospital Nurses: the Mediated Role of Job Embeddedness,https://doi.org/10.1007/s11115-021-00521-9,psychological capital,employee performance,Job embeddedness significantly mediates the link between psychological capital and employee performance.,link,,None: The linking sentence does not imply in any way a causal relationship was identified,"The findings offer sug- gestions for researchers on the conservation of resources and concept of psy- chological capital, public hospitals, and practitioners on how to improve the performance of employees.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Other graphical causal model (describe in ""other""), Structural equations model",No," The findings revealed that psychological capital has a significant positive relationship with employee performance (Alessandri et al., 2018). ",Second paragraph of the discussion or conclusions section,relationship,significant positive,None: The linking sentence does not imply in any way a causal relationship was identified, ,N/A: No action recommendation(s) provided in the discussion/conclusion,,"Secondly, the cross-sectional nature of the study
would hinder the chances to extend the generalizability of findings. The reason
behind this limitation is caused due to time and recourses constraints. To overcome
this limitation, a longitudinal study could be used to collect data in a more care-
ful and organized manner, so that detailed and extensive causal relationships among
study variables can be achieved.","No, this does not appear in the study manuscript",
10/9/2025 13:40:43,"“I Like It like That”: A Study on the Relationship between Psychological Capital, Work Engagement and Extra-Role Behavior",https:// doi.org/10.3390/su14042022,psychological capital,extra-role behaviours,The present study shed a light on the psychological mechanisms according to which PsyCap positively affects extra-role behaviors.,affects,positively,Strong: The linking sentence clearly implies that causality had been identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other"")",No,"The model showed a relation between psychological capital and work engagement
literature. The model showed a relation between psychological capital and work en-
(H1), between psychological capital and extra-role behaviors (H2), and between work en-
gagement (H1), between psychological capital and extra-role behaviors (H2), and be-
gagement and extra-role behaviors (H3)",Second paragraph of the discussion or conclusions section,relation,,None: The linking sentence does not imply in any way a causal relationship was identified,"Therefore, the main lesson learned through this study was that any investment in PsyCap training programs could represent a winning and “sustainable” HR strategy, aimed at improving the potential of individuals and teams and at increasing the competitive advantage of the organizations, which is a high-order priority, especially in the current unstable and complex times.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"The first limitation was related to the cross-sectional
nature of the study; this prevented us from verifying any causal relationships between the
variables and from monitoring the trend of results over time.",,"No, this does not appear in the study manuscript",
10/9/2025 17:02:32,The power of shared positivity: organizational psychological capital and firm performance during exogenous crises,https://doi.org/10.1007/s11187-021-00506-4,organisational psychological capital,performance; creative innovation,Our results support the notion that organizational psy- chological capital positively influences creative inno- vation of SMEs and thus performance during crises.,influences,positively,Strong: The linking sentence clearly implies that causality had been identified,"Thus, the principal implication of our study is the fact that SMEs should place a stronger emphasizes on their organizational psychological capital and try to stay positive, as it will help them to come up with innova- tive ideas coping with the effects of the crisis, ulti- mately increasing their performance and survival rate.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Other graphical causal model (describe in ""other""), Structural equations model",Yes,Our results show that OPC is directly and positively related to creative innova- tion as well as performance.,Second paragraph of the discussion or conclusions section,related,directly and positively,None: The linking sentence does not imply in any way a causal relationship was identified,"As OPC is considered a state like resource (Luthans et al., 2007) and thus has the potential to be enhanced by interventions (Dello Russo & Stoykova, 2015), our results indicate that such interventions during crises might be beneficial for the survival of the company. ",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/9/2025 17:14:05,Psychological capital and happiness at work: The mediating role of employee thriving in multinational corporations,https://doi.org/10.1007/s12144-019-00598-y,psychological capital,happiness at work (positivity and satisfaction with intercultural interactions) ,The results show that psychological capital as resource caravans is positively associated with learning and further is related to more satisfaction with intercultural interactions. ,associated,positively,None: The linking sentence does not imply in any way a causal relationship was identified,Our study suggests that managers should stimulate learning and vitality by managerial practices concerning improvement of employee psychological capital since then they may strengthen happiness at work.,Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Other graphical causal model (describe in ""other"")",Yes,"Firstly, the research proved that PsyCap is related to happiness and that thriving partially mediated the relationship.",First paragraph of the discussion or conclusions section,related,,"Weak: The linking sentence might imply a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference","Since PsyCap is a person- al resource of employees which can be improved, MNCs may strengthen an individual’s PsyCap by providing more organizational resources enabling intercultural interactions (e.g., cross-cultural trainings, face-to-face meetings of teammates of virtual multicultural teams, video confer- ences instead of teleconferences, etc.), consequently en- hancing thriving that relates to happiness of their personnel (Vuong and Napier 2015). ",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/9/2025 17:26:19,The Relationship Between Psychological Capital and Teacher Career Commitment in Ethnic Areas of China: The Mediating Effects of Gratitude and Career Well-Being,doi: 10.3389/fpsyg.2021.818274,psychological capital,career commitment,Psychological capital can predict career commitment significantly and positively,predict,significantly and positively,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other""), Structural equations model",No,The results of the study showed that psychological capital could significantly and positively predict career commitment,First paragraph of the discussion or conclusions section,predict,significantly and positively ,None: The linking sentence does not imply in any way a causal relationship was identified, ,N/A: No action recommendation(s) provided in the discussion/conclusion,"Finally, this study is only a
cross-sectional survey study, and the causal relationship between
variables needs to be verified further.",,"No, this does not appear in the study manuscript",
10/9/2025 17:46:44,Assessing the antecedents and outcomes of salesperson’s psychological capital,DOI 10.1108/JBIM-08-2021-0374,psychological capital; thought self-leadership,sales performance; psychological capital,The results demonstrate that TSL drives PsyCap in salespeople.,drive,,Strong: The linking sentence clearly implies that causality had been identified," The results suggest that organizations should invest in training to develop the TSL of their salesforce, which will lead to enhanced performance through personal resources such as PsyCap.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Other graphical causal model (describe in ""other""), Structural equations model",Yes,"We report a positive relationship between a salesperson’s TSL and PsyCap, including self-efficacy, hope, optimism and resilience.",Second paragraph of the discussion or conclusions section,relationship,positive,None: The linking sentence does not imply in any way a causal relationship was identified,"Second, sales employees can be trained to use TSL strategies to enhance their PsyCap by designing training interventions with the help of learning and development team.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Although we used a sound theoretical
framework to develop the model using prior research to justify
the hypothesized relationships, the data used was cross-
sectional, which might not strongly support the causal
relationship suggested in our study.",,"No, this does not appear in the study manuscript",
10/9/2025 18:04:39,Psychological capital as an antecedent to servant leadership in the counseling profession,https://doi.org/10.1080/2326716X.2022.2036269,psychological capital,servant leadership,"Findings show that PsyCap was a strong predictor of servant leadership, particularly in counseling students when compared to experi- enced counseling professionals. ",predictor,strong,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"No, there are no formal causal models presented in this paper",No,"First, individuals who report embracing SL practices also indicate possessing higher reserves of positive psychological resources (PsyCap), including hope, efficacy, resiliency, and optimism. ",First paragraph of the discussion or conclusions section,higher,,None: The linking sentence does not imply in any way a causal relationship was identified,"Counseling students and experienced counseling professionals can be encouraged to incorporate PsyCap development practices into their applied experiences, thereby positively influencing SL principles and practices",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Finally, our data do not
allow conclusions about causality but provide preliminary support for the hypothesized relationship.",,"No, this does not appear in the study manuscript",
10/10/2025 12:32:25,Psychological capital for success: the mediating role of entrepreneurial persistence and risk-taking,DOI 10.1108/JEEE-09-2020-0337,Psychological Capital,career success,"Statistically significant and positive relationships were found between PC and success, whereas P and risk-taking were found to mediate the PC-success association. ",relationships,Statistically significant and positive,None: The linking sentence does not imply in any way a causal relationship was identified,"[Can this be considered?] The importance of the transitional progression of self-ef cacy and optimism to
success through P and risk-taking were veri ed and so can be used for nurturing efforts that activate positive
self-ef cacy and optimism for entrepreneurial career success.","Moderate: The action recommendation most likely could only be made appropriately had a causal relationship been identified, but there is a small possibility that one could come to that recommendation in the absence of any causal inference","Other graphical causal model (describe in ""other""), Structural equations model",No,The influence from PC on ECS explained 49.4% of the variance of success.,First paragraph of the discussion or conclusions section,influence,,"Moderate: The linking sentence mostly implies a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference","[can this be considered?] This research supports
Baluku et al. (2018) results that positive mindsets are essential for undertaking and P in
entrepreneurship. Thus, it is urged that individuals engaged in fostering entrepreneurship
incorporates psychological testing in their selection criteria. ","Moderate: The action recommendation most likely could be made appropriately had a causal relationship been identified, but it is unclear or possible to come to that recommendation in the absence of any causal inference","In particular, the findings related to mediation in such a cross-sectional study should not necessarily be interpreted as evidence
of underlying causal relationships.",,"No, this does not appear in the study manuscript",
10/10/2025 13:41:18,Innovation in Teams: The Role of Psychological Capital and Team Learning,https://doi.org/10.1080/00223980.2021.2014391,team psychological capital,innovation,"Results supported a direct positive relationship between team psy- chological capital and team innovation and an indirect influence of team psychological capital on team innovation, through team learn- ing.",relationship,direct positive,"Weak: The linking sentence might imply a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference","Accordingly, managers should seek to develop team psy- chological capital and learning behaviors among their teams to pro- mote innovation.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Other graphical causal model (describe in ""other"")",Yes,The results of the present study highlighted the role of team PsyCap as an antecedent of learning and innovation in teams.,First paragraph of the discussion or conclusions section,antecedent,,"Weak: The linking sentence might imply a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference","By highlighting the role of team PsyCap in triggering innovation in teams, our findings suggest that managers should contribute to developing positive psychological resources among teams to build innovative teams. ",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/10/2025 13:50:28,Longitudinal associations between psychological capital and problem-­ solving among social workers: A two-­ wave cross-­ lagged study,DOI: 10.1111/hsc.13713,psychological capital, impulsivity-carelessness and avoidance strategies; rational problem-solving, Cross-lagged analysis showed that PsyCap at T1 increased rational problem-solving and decreased avoidance at T2.,increased/decreased,,Strong: The linking sentence clearly implies that causality had been identified,,N/A: No action recommendation(s) provided in this abstract,Structural equations model,No,"Consistent with H1, the quantitative results showed that PsyCap at T1 increased rational problem-solving at T2. ",First paragraph of the discussion or conclusions section,increased,,Strong: The linking sentence clearly implies that causality had been identified," In practice, setting realistic expectations, aiming for small achievements, focussing on current problem-solving ef- fort and monitoring the problem-solving process have been recom- mended for building client capacities (PsyCap) to deal with target problems (rational problem-solving).",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/10/2025 14:01:07,Employees’ psychological capital and innovation outputs: the roles of job crafting and proactive personality,https://doi.org/10.1080/14479338.2021.1979987,psychological capital,innovation outputs,"This study examined a moderated mediation model in which the job crafting of employees mediates the relationship between employees’ psychological capital (PsyCap) and their innovation outputs, and this mechanism is moderated by employees’ proactive personality. The results produced by structural equation modelling with a sample of 653 employees in Vietnam confirmed the above relationships.",relationships,,"Weak: The linking sentence might imply a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference",,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other""), Structural equations model",Yes,"First, the SEM findings confirm the synergistic effect of the psychological resources of efficacy, hope, optimism and resiliency on innovation outputs, adding more empirical evidence on the role of PsyCap in innovation outputs in an emerging market, Vietnam.",Second paragraph of the discussion or conclusions section,effect,synergistic,Strong: The linking sentence clearly implies that causality had been identified,The study results suggest that firms could enhance their employees’ innovation outputs by developing and nurturing their PsyCap and job crafting skills.,Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/10/2025 14:12:17,The Impact of Employees’ Psychological Capital on Innovative Work Behavior: The Chain Mediating Effect of Knowledge Donating and Knowledge Collecting,doi: 10.3389/fpsyg.2021.761399,psychological capital,innovative work behaviour,"Results indicated that knowledge donating and knowledge collecting played a chain mediating role between psychological capital and IWB, and the independent mediating effect of knowledge collecting was also significant.",role,,"Weak: The linking sentence might imply a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference",,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other"")",Yes,"The present study confirmed that employees’ psychological capital is positively related to their IWB and knowledge sharing (knowledge collecting and donating), which is consistent with previous study results.",Second paragraph of the discussion or conclusions section,related,positively,None: The linking sentence does not imply in any way a causal relationship was identified,"Therefore, we recommend that organizations should pay attention to the psychological capital and mental health of employees.","Moderate: The action recommendation most likely could be made appropriately had a causal relationship been identified, but it is unclear or possible to come to that recommendation in the absence of any causal inference",,"We suppose that knowledge collecting
and donating as individual behavior habits do not change
significantly over short periods of time, but our claim of causality
is not convincing enough.","No, this does not appear in the study manuscript",
